"","pay","algorithm","sdev","n","s","rep"
"190",13,1,"0.05",10,10,10
"191",66,2,"0.05",10,10,10
"192",85,3,"0.05",10,10,10
"193",13,1,"0.1",10,10,10
"194",75,2,"0.1",10,10,10
"195",13,3,"0.1",10,10,10
"196",16.0090574909534,1,"0.5",10,10,10
"197",71.6776786390211,2,"0.5",10,10,10
"198",85.6766764161831,3,"0.5",10,10,10
"199",29.12235184216,1,"1",10,10,10
"200",89.4637846010447,2,"1",10,10,10
"201",89.1362916775022,3,"1",10,10,10
"202",34.1967456607498,1,"2",10,10,10
"203",84.3697920201544,2,"2",10,10,10
"204",108.435606885423,3,"2",10,10,10
"205",107.431477700833,1,"5",10,10,10
"206",141.348280454978,2,"5",10,10,10
"207",106.098265227025,3,"5",10,10,10
"208",137.199455162302,1,"10",10,10,10
"209",163.713632556633,2,"10",10,10,10
"210",127.96348041564,3,"10",10,10,10
"211",32,1,"0.05",10,10,11
"212",64,2,"0.05",10,10,11
"213",56,3,"0.05",10,10,11
"214",40,1,"0.1",10,10,11
"215",65,2,"0.1",10,10,11
"216",38,3,"0.1",10,10,11
"217",16.3739649588869,1,"0.5",10,10,11
"218",24.8120117283933,2,"0.5",10,10,11
"219",56.1353358619758,3,"0.5",10,10,11
"220",33.9055250592676,1,"1",10,10,11
"221",32.824211436758,2,"1",10,10,11
"222",23.1887261646893,3,"1",10,10,11
"223",91.202845463903,1,"2",10,10,11
"224",38.3342432676077,2,"2",10,10,11
"225",71.6577722384538,3,"2",10,10,11
"226",99.9551361137035,1,"5",10,10,11
"227",99.7722361902734,2,"5",10,10,11
"228",120.753660216065,3,"5",10,10,11
"229",149.044230159622,1,"10",10,10,11
"230",159.548880654456,2,"10",10,10,11
"231",130.550360582992,3,"10",10,10,11
"232",8,1,"0.05",10,10,12
"233",39,2,"0.05",10,10,12
"234",53,3,"0.05",10,10,12
"235",8,1,"0.1",10,10,12
"236",41,2,"0.1",10,10,12
"237",55,3,"0.1",10,10,12
"238",8.13597088637563,1,"0.5",10,10,12
"239",41.0404285900142,2,"0.5",10,10,12
"240",78.493049467371,3,"0.5",10,10,12
"241",27.2647015525789,1,"1",10,10,12
"242",63.3104697739945,2,"1",10,10,12
"243",59.9880036577692,3,"1",10,10,12
"244",38.3064790902899,1,"2",10,10,12
"245",95.1896923109057,2,"2",10,10,12
"246",82.1680416276362,3,"2",10,10,12
"247",84.4725205516254,1,"5",10,10,12
"248",123.283011630335,2,"5",10,10,12
"249",122.997183719379,3,"5",10,10,12
"250",114.076301955405,1,"10",10,10,12
"251",134.277395055911,2,"10",10,10,12
"252",128.669823301356,3,"10",10,10,12
"253",54,1,"0.05",10,10,13
"254",106,2,"0.05",10,10,13
"255",170,3,"0.05",10,10,13
"256",27,1,"0.1",10,10,13
"257",95,2,"0.1",10,10,13
"258",172,3,"0.1",10,10,13
"259",54.0053055447747,1,"0.5",10,10,13
