"","pay","algorithm","sdev","n","s","rep"
"196",17.1199504413535,1,"2",5,5,6
"197",36,2,"2",5,5,6
"198",36,3,"2",5,5,6
"199",36,4,"2",5,5,6
"200",36,5,"2",5,5,6
"201",28.7844711122107,1,"5",5,5,6
"202",36,2,"5",5,5,6
"203",36,3,"5",5,5,6
"204",36,4,"5",5,5,6
"205",36,5,"5",5,5,6
"206",34.6934903915991,1,"10",5,5,6
"207",36,2,"10",5,5,6
"208",36,3,"10",5,5,6
"209",36,4,"10",5,5,6
"210",36,5,"10",5,5,6
"211",13,1,"0.05",5,5,7
"212",35,2,"0.05",5,5,7
"213",35,3,"0.05",5,5,7
"214",35,4,"0.05",5,5,7
"215",35,5,"0.05",5,5,7
"216",13,1,"0.1",5,5,7
"217",35,2,"0.1",5,5,7
"218",35,3,"0.1",5,5,7
"219",35,4,"0.1",5,5,7
"220",35,5,"0.1",5,5,7
"221",16.1127115144421,1,"0.5",5,5,7
"222",35.0016773131395,2,"0.5",5,5,7
"223",35.0016773131395,3,"0.5",5,5,7
"224",35.0016773131395,4,"0.5",5,5,7
"225",35.0016773131395,5,"0.5",5,5,7
"226",26.9828584719537,1,"1",5,5,7
"227",35.6766764161831,2,"1",5,5,7
"228",35.8946939653126,3,"1",5,5,7
"229",35.8946939653126,4,"1",5,5,7
"230",35.8946939653126,5,"1",5,5,7
"231",40.7888579954226,1,"2",5,5,7
"232",42.4914292359769,2,"2",5,5,7
"233",42.4914292359769,3,"2",5,5,7
"234",42.4914292359769,4,"2",5,5,7
"235",42.4914292359769,5,"2",5,5,7
"236",47.4681983354683,1,"5",5,5,7
"237",47.4681983354683,2,"5",5,5,7
"238",47.4681983354683,3,"5",5,5,7
"239",47.4681983354683,4,"5",5,5,7
"240",47.4681983354683,5,"5",5,5,7
"241",48.6080684477263,1,"10",5,5,7
"242",48.6080684477263,2,"10",5,5,7
"243",48.6080684477263,3,"10",5,5,7
"244",48.6080684477263,4,"10",5,5,7
"245",48.6080684477263,5,"10",5,5,7
"246",36,1,"0.05",5,5,8
"247",79,2,"0.05",5,5,8
"248",80,3,"0.05",5,5,8
"249",83,4,"0.05",5,5,8
"250",83,5,"0.05",5,5,8
"251",36,1,"0.1",5,5,8
"252",79,2,"0.1",5,5,8
"253",80,3,"0.1",5,5,8
"254",83,4,"0.1",5,5,8
"255",83,5,"0.1",5,5,8
"256",36.5470439976208,1,"0.5",5,5,8
"257",79.0023482383953,2,"0.5",5,5,8
"258",80.0013418505116,3,"0.5",5,5,8
"259",83.0023482383953,4,"0.5",5,5,8
"260",83.0023482383953,5,"0.5",5,5,8
"261",44.2554522774334,1,"1",5,5,8
"262",79.9473469826563,2,"1",5,5,8
"263",80.5413411329465,3,"1",5,5,8
"264",83.9473469826563,4,"1",5,5,8
"265",83.9473469826563,5,"1",5,5,8
"266",77.8179622216085,1,"2",5,5,8
"267",83.2457146179884,2,"2",5,5,8
"268",87.2457146179884,3,"2",5,5,8
"269",87.2457146179884,4,"2",5,5,8
"270",87.2457146179884,5,"2",5,5,8
"271",98.0794461687447,1,"5",5,5,8
"272",98.0794461687447,2,"5",5,5,8
"273",98.0794461687447,3,"5",5,5,8
"274",98.0794461687447,4,"5",5,5,8
"275",98.0794461687447,5,"5",5,5,8
"276",101.732715091632,1,"10",5,5,8
"277",101.732715091632,2,"10",5,5,8
"278",101.732715091632,3,"10",5,5,8
"279",101.732715091632,4,"10",5,5,8
